,City,Cloudiness,Humidity,Latitude,Temperature,Wind Speed
0,albany,90,68,42.65,71.6,11.41
1,uyuni,8,65,-20.46,23.75,5.61
2,samoded,0,36,63.61,54.44,8.75
3,alofi,44,74,-19.06,82.4,8.05
4,arraial+do+cabo,0,98,-22.97,68.3,6.29
5,iwanai,0,81,42.97,55.7,4.16
6,bumba,92,100,2.18,69.29,3.15
7,katsuura,75,57,33.93,77.0,4.7
8,beringovskiy,32,95,63.05,35.99,3.49
9,bluff,0,47,-23.58,76.49,11.77
10,severo-kurilsk,80,100,50.68,37.79,3.38
11,cabo+san+lucas,5,33,22.89,86.0,14.67
12,plettenberg+bay,0,100,-34.05,58.94,4.05
13,cockburn+town,80,94,21.46,79.91,20.71
14,bredasdorp,0,93,-34.53,46.4,5.82
15,busselton,92,100,-33.64,66.59,25.75
16,faya,0,37,18.39,66.2,3.83
17,mataura,92,78,-46.19,44.99,12.88
18,nortelandia,0,87,-14.45,66.77,2.59
19,cidreira,0,94,-30.17,58.67,8.41
20,cimislia,40,72,46.52,59.0,4.7
21,khatanga,80,92,71.98,36.53,10.2
22,byron+bay,40,60,-28.65,71.6,12.75
23,gazojak,36,36,41.19,74.6,12.77
24,mount+gambier,92,73,-37.83,63.17,7.18
25,dicabisagan,0,82,17.08,87.47,6.4
26,upata,80,85,8.02,74.42,5.73
27,hermanus,0,92,-34.42,40.76,3.04
28,chumikan,0,49,54.72,63.89,7.63
29,ushuaia,80,100,-54.81,32.75,11.77
30,rikitea,68,100,-23.12,73.43,12.1
31,tabou,64,100,4.42,78.2,8.75
32,hobart,24,61,-42.88,50.0,10.29
33,biarritz,8,100,43.48,60.8,4.7
34,nanakuli,40,73,21.39,80.6,6.93
35,cabo+san+lucas,5,33,22.89,86.0,14.67
36,fortuna,0,88,38.18,62.6,6.93
37,half+moon+bay,20,71,37.46,62.6,16.11
38,chuy,0,90,-33.69,56.42,11.77
39,goundam,0,46,16.42,87.29,15.79
40,cape+town,0,100,-33.93,42.8,3.36
41,hermiston,1,40,45.84,71.6,16.11
42,manaure,56,99,11.78,81.08,10.98
43,butaritari,80,100,3.07,83.33,9.75
44,bilibino,24,60,68.06,44.54,3.71
45,vestmannaeyjar,92,100,63.44,43.82,6.85
46,castro,92,78,-42.48,49.22,7.74
47,biak,48,96,-0.91,80.45,4.16
48,tuktoyaktuk,56,100,69.44,24.8,14.99
49,port+alfred,12,100,-33.59,61.37,10.98
50,port+elizabeth,20,83,39.31,78.8,4.05
51,gravdal,0,100,59.79,50.0,3.36
52,cabo+san+lucas,5,33,22.89,86.0,14.67
53,mount+gambier,92,73,-37.83,63.17,7.18
54,komsomolskiy,88,99,67.55,34.19,18.48
55,punta+arenas,0,100,-53.16,39.2,23.04
56,sitka,0,55,37.17,80.0,14.79
57,canavieiras,92,100,-15.68,69.74,6.96
58,saurimo,0,74,-9.66,59.75,2.59
59,grand+gaube,40,83,-20.01,75.2,8.05
60,poum,20,81,41.28,53.6,4.7
61,presidencia+roque+saenz+pena,44,82,-26.79,64.97,10.54
62,puerto+ayora,0,98,-0.74,73.79,12.21
63,ribeira+grande,44,100,38.52,64.52,1.7
64,chiredzi,0,88,-21.05,58.67,2.71
65,esperance,20,88,10.24,78.8,5.82
66,yuzhnyy,0,74,53.54,47.24,3.15
67,micheweni,88,100,-4.97,77.21,13.44
68,ahipara,92,100,-35.17,58.58,22.06
69,port+elizabeth,20,83,39.31,78.8,4.05
70,saint-philippe,75,58,45.36,60.8,8.05
71,nikolskoye,0,71,59.7,57.2,6.71
72,huntsville,90,88,34.73,75.2,2.59
73,punta+arenas,0,100,-53.16,39.2,23.04
74,qaqortoq,20,95,60.72,32.0,10.29
75,ulaanbaatar,40,27,47.92,51.8,24.61
76,binika,20,77,21.03,89.0,4.38
77,chokurdakh,0,100,70.62,33.29,7.4
78,ejigbo,80,95,7.9,74.51,7.18
79,lahij,0,28,13.06,70.55,2.93
80,torbay,90,100,47.66,33.8,12.75
81,conceicao+do+araguaia,100,41,-8.26,85.67,7.18
82,cravo+norte,88,95,6.3,74.51,4.38
83,yellowknife,75,62,62.45,51.8,5.82
84,punta+arenas,0,100,-53.16,39.2,23.04
85,yulara,0,21,-25.24,80.6,10.29
86,bethel,90,65,60.79,44.6,14.99
87,broome,56,87,52.47,60.8,9.17
88,agadez,0,46,16.97,72.26,3.49
89,bantou,32,69,26.22,86.75,3.6
90,mount+gambier,92,73,-37.83,63.17,7.18
91,douentza,0,47,15.01,82.97,10.76
92,atuona,36,100,-9.8,80.63,14.23
93,haines+junction,80,47,60.75,41.03,2.37
94,lasa,20,82,34.92,68.0,4.7
95,hualmay,32,95,-11.1,58.13,4.38
96,barrow,76,61,-38.31,56.51,12.21
97,starkville,1,100,33.45,75.2,2.59
98,saint+george,40,68,39.45,66.2,6.93
99,pochutla,88,100,15.74,78.65,1.81
100,kaeo,80,88,-35.1,58.67,19.48
101,port-gentil,20,100,-0.72,77.75,7.85
102,san+quintin,20,63,17.54,91.4,9.17
103,cape+town,0,100,-33.93,42.8,3.36
104,klaksvik,0,93,62.23,46.4,11.41
105,ostrovnoy,88,81,68.05,37.25,26.87
106,tasiilaq,80,80,65.61,35.6,18.34
107,los+llanos+de+aridane,44,67,28.66,62.6,8.05
108,provideniya,0,95,64.42,33.74,8.97
109,kurud,44,50,20.85,90.08,4.94
110,medicine+hat,20,40,50.04,69.8,6.93
111,hilo,90,69,19.71,77.0,9.17
112,sabang,64,88,13.72,86.12,4.16
113,pevek,0,89,69.7,36.44,4.38
114,cabo+san+lucas,5,33,22.89,86.0,14.67
115,wanning,40,93,48.64,57.2,3.36
116,toora-khem,0,72,52.47,56.69,3.04
117,avarua,40,74,-21.21,86.0,4.7
118,kavieng,76,100,-2.57,85.67,7.85
119,dickinson,1,50,46.88,75.2,10.29
120,batsfjord,68,98,70.63,41.03,30.11
121,isangel,92,100,-19.55,70.55,16.58
122,lorengau,32,99,-2.02,84.95,9.19
123,archidona,80,95,-0.91,59.03,1.92
124,lompoc,1,76,34.64,55.4,9.17
125,manaus,75,94,-3.13,78.8,2.93
126,cape+town,0,100,-33.93,42.8,3.36
127,hammelburg,0,81,50.12,55.97,2.71
128,bakchar,92,98,57.02,38.96,6.96
129,sedan,48,78,49.7,64.34,7.29
130,jamestown,100,70,-33.21,61.73,11.21
131,punta+arenas,0,100,-53.16,39.2,23.04
132,sobradinho,0,82,-29.41,48.32,2.59
133,senno,0,93,57.76,51.8,2.24
134,tual,88,100,-5.67,77.57,6.4
135,mokhsogollokh,0,41,61.4,72.71,3.15
136,harboore,0,82,56.62,62.6,5.82
137,necochea,68,68,-38.55,55.07,12.21
138,pontianak,32,95,-0.02,83.24,3.04
139,touros,56,81,-5.2,79.01,12.1
140,dikson,64,100,73.51,27.17,8.52
141,kutum,0,86,14.2,60.83,5.39
142,cape+town,0,100,-33.93,42.8,3.36
143,punta+arenas,0,100,-53.16,39.2,23.04
144,eyl,8,76,7.98,81.26,22.17
145,saint-francois,76,93,46.42,60.8,2.37
146,djambala,20,93,-2.55,69.2,4.72
147,praxedis+guerrero,90,11,31.37,91.4,5.82
148,changji,64,72,32.07,75.23,9.86
149,sungaipenuh,68,89,-2.08,74.24,2.26
150,faanui,0,100,-16.48,81.53,13.67
151,buribay,0,62,51.96,43.01,12.21
152,saint+george,40,68,39.45,66.2,6.93
153,victoria,75,66,5.28,89.6,2.24
154,san+quintin,20,63,17.54,91.4,9.17
155,vaini,8,90,15.34,78.47,3.15
156,brae,0,100,60.4,46.4,3.36
157,morada+nova,56,68,-5.1,77.39,6.29
158,macau,12,67,-5.11,77.39,9.64
159,ribeira+grande,44,100,38.52,64.52,1.7
160,stony+plain,40,44,53.53,64.4,5.82
161,codrington,88,94,-28.95,61.73,3.94
162,ribeira+grande,44,100,38.52,64.52,1.7
163,saint-dizier,0,88,48.64,64.4,3.36
164,mahebourg,40,83,-20.41,75.2,8.05
165,guerrero+negro,20,84,27.97,60.83,16.8
166,thanh+hoa,8,77,10.21,89.27,3.6
167,cayenne,75,100,4.94,75.2,6.73
168,qaanaaq,0,79,77.48,14.93,3.27
169,simao,24,79,22.76,76.49,2.82
170,charters+towers,56,76,-20.07,71.72,11.88
171,kodiak,1,66,39.95,84.2,6.93
172,saskylakh,64,85,71.97,44.36,12.33
173,ilulissat,92,92,69.22,28.4,12.75
174,taungdwingyi,20,72,20.0,87.47,7.74
175,clyde+river,90,73,70.47,24.8,11.41
176,caravelas,44,98,-17.73,78.11,18.7
177,ponta+do+sol,88,97,-20.63,57.05,3.71
178,hasaki,40,64,35.73,73.4,4.7
179,mar+del+plata,36,62,-46.43,50.03,21.94
180,wagar,24,96,31.44,69.92,2.37
181,new+norfolk,36,61,-42.78,50.0,10.29
182,port+elizabeth,20,83,39.31,78.8,4.05
183,flin+flon,76,66,54.77,62.99,5.61
184,kavaratti,56,100,10.57,84.14,19.26
185,carnarvon,0,66,-30.97,26.63,2.37
186,upernavik,88,100,72.79,25.1,7.52
187,nabire,80,86,-3.36,77.12,2.71
188,college,90,58,64.86,59.0,4.7
189,kapaa,90,74,22.08,78.8,10.29
190,saldanha,0,87,41.42,45.8,2.37
191,ucluelet,76,74,48.94,51.83,1.92
192,punta+arenas,0,100,-53.16,39.2,23.04
193,tayu,75,69,35.06,73.4,5.82
194,marzuq,0,68,14.4,59.12,2.59
195,sao+jose+da+coroa+grande,88,94,-8.9,75.14,7.29
196,lavrentiya,36,95,65.58,33.74,10.76
197,harper,1,48,30.3,87.8,8.63
198,zell+am+see,0,87,47.32,55.4,3.36
199,tautira,20,65,-17.73,82.4,9.17
200,wenling,88,84,28.38,77.84,3.83
201,yining,88,91,29.04,70.82,3.83
202,east+london,0,87,-33.02,53.6,5.82
203,ambulu,68,98,-8.35,78.92,8.19
204,rach+gia,56,95,10.02,87.2,4.05
205,sao+filipe,20,100,14.9,70.19,13.33
206,belmonte,0,87,40.36,48.05,4.38
207,bambous+virieux,40,83,-20.34,75.2,8.05
208,port+alfred,12,100,-33.59,61.37,10.98
209,puerto+ayora,0,98,-0.74,73.79,12.21
210,nantucket,1,100,41.28,69.8,5.82
211,georgetown,75,94,6.8,77.0,4.7
212,khandyga,0,31,62.65,65.33,7.74
213,houma,0,45,35.63,73.43,4.38
214,ponta+do+sol,88,97,-20.63,57.05,3.71
215,adrar,64,25,27.87,84.2,12.75
216,tocopilla,36,100,-22.09,55.52,1.92
217,bambanglipuro,92,75,-7.95,80.0,6.62
218,lebu,0,81,8.96,43.01,2.59
219,batemans+bay,0,80,-35.71,64.79,1.81
220,kamenka,0,65,53.19,47.69,2.93
221,norman+wells,90,70,65.28,42.8,14.99
222,srisailam,8,61,16.07,86.48,3.27
223,toktogul,0,54,41.87,56.69,1.36
224,balad,24,100,-6.76,84.05,7.96
225,stralsund,90,100,54.31,55.4,4.7
226,cape+town,0,100,-33.93,42.8,3.36
227,hasanabad,0,52,35.37,69.8,18.34
228,lucapa,0,80,-8.42,59.75,2.71
229,puerto+ayora,0,98,-0.74,73.79,12.21
230,becsehely,0,89,46.45,59.21,2.71
231,nago,90,93,45.88,69.8,3.36
232,hithadhoo,24,99,-0.6,85.4,15.79
233,zeya,0,37,53.74,67.04,2.82
234,cape+town,0,100,-33.93,42.8,3.36
235,east+london,0,87,-33.02,53.6,5.82
236,rocha,0,86,-34.48,48.59,5.84
237,cocal,68,97,-3.47,71.9,2.26
238,maun,0,81,-19.99,48.2,2.24
239,pimentel,56,96,-3.7,73.88,4.72
240,danshui,20,71,22.81,90.44,6.17
241,narsaq,36,80,60.91,32.0,10.29
242,arica,90,72,-18.48,64.4,8.05
243,san+joaquin,12,66,10.59,89.27,7.63
244,new+norfolk,36,61,-42.78,50.0,10.29
245,tessalit,44,22,20.2,78.29,4.83
246,strelka,92,94,58.08,44.09,3.6
247,la+paz+centro,40,83,12.34,78.8,6.93
248,oranjemund,76,100,-28.55,58.04,9.42
249,fairbanks,90,58,64.84,59.0,4.7
250,atagay,20,51,55.1,69.74,5.95
251,punta+arenas,0,100,-53.16,39.2,23.04
252,east+london,0,87,-33.02,53.6,5.82
253,nchelenge,92,66,-9.35,71.54,4.72
254,kushtagi,0,68,15.76,84.05,3.49
255,sorland,44,98,67.67,45.17,14.56
256,safakulevo,0,60,54.99,45.26,4.72
257,arlit,20,15,18.74,78.56,3.15
258,concordia,0,92,-31.4,57.05,4.94
259,hofn,92,96,64.25,45.89,9.98
260,awjilah,0,43,29.14,70.55,11.65
261,nioki,48,100,-2.72,70.1,1.36
262,boralday,0,46,43.36,73.4,4.47
263,cabo+san+lucas,5,33,22.89,86.0,14.67
264,te+kauwhata,88,82,-37.4,55.4,14.99
265,dali,92,100,25.6,59.84,1.92
266,inuvik,90,97,68.36,32.0,12.75
267,gao,20,36,16.28,89.27,13.0
268,lethem,12,99,3.38,70.91,3.27
269,bud,12,76,62.91,50.0,6.93
270,puerto+ayora,0,98,-0.74,73.79,12.21
271,ozark,1,83,37.02,77.0,3.6
272,champerico,5,58,16.38,82.4,11.41
273,jiangyou,20,33,31.78,80.27,3.38
274,punta+arenas,0,100,-53.16,39.2,23.04
275,shaunavon,12,44,49.65,72.17,13.11
276,westport,12,71,53.8,57.5,13.11
277,nelson+bay,0,52,-32.72,69.8,6.93
278,menongue,0,65,-14.66,52.01,3.71
279,winnetka,1,78,42.11,78.8,3.71
280,timizart,56,35,36.8,75.23,4.16
281,majene,68,100,-3.54,82.16,9.75
282,souillac,75,100,45.6,59.0,6.93
283,churapcha,12,28,62.0,72.89,3.71
284,east+london,0,87,-33.02,53.6,5.82
285,margate,20,61,-43.03,50.0,10.29
286,punta+arenas,0,100,-53.16,39.2,23.04
287,nautla,0,100,20.22,81.35,8.52
288,port+alfred,12,100,-33.59,61.37,10.98
289,pacific+grove,1,76,36.62,57.2,9.17
290,oussouye,75,88,12.49,71.6,6.93
291,san+quintin,20,63,17.54,91.4,9.17
292,laguna,0,17,27.52,88.55,4.94
293,tarakan,24,90,3.3,85.67,2.59
294,port+elizabeth,20,83,39.31,78.8,4.05
295,lyngseidet,75,80,69.58,41.0,8.05
296,richards+bay,12,100,-28.77,60.2,2.82
297,rorvik,0,100,64.86,42.47,4.27
298,east+london,0,87,-33.02,53.6,5.82
299,henderson,1,16,36.04,78.8,9.17
300,thompson,75,71,55.74,53.6,4.7
301,yenotayevka,0,51,47.24,53.27,13.0
302,trelew,0,43,-43.25,43.28,9.53
303,barcelos,75,100,41.53,57.2,2.15
304,clyde+river,90,73,70.47,24.8,11.41
305,port+alfred,12,100,-33.59,61.37,10.98
306,monaghan,0,93,54.25,48.2,17.22
307,atar,0,22,20.52,74.6,7.96
308,bambous+virieux,40,83,-20.34,75.2,8.05
309,port+alfred,12,100,-33.59,61.37,10.98
310,port+alfred,12,100,-33.59,61.37,10.98
311,namibe,0,100,-15.19,71.27,2.93
312,puerto+escondido,32,100,15.86,80.09,4.16
313,sao+francisco+de+paula,0,86,-29.45,46.25,3.83
314,wad+rawah,24,60,15.16,77.75,8.08
315,coquimbo,48,100,-29.95,53.0,3.49
316,masallatah,24,93,32.62,54.17,3.83
317,punta+arenas,0,100,-53.16,39.2,23.04
318,puerto+ayora,0,98,-0.74,73.79,12.21
319,antofagasta,40,82,-23.65,55.4,6.93
320,cabo+san+lucas,5,33,22.89,86.0,14.67
321,presidente+medici,12,89,-11.18,72.62,2.15
322,bereda,75,87,43.27,57.2,1.12
323,mineiros,0,63,-17.57,64.07,6.96
324,kiunga,92,88,-6.12,80.45,1.59
325,sinnamary,64,100,5.38,78.11,7.18
326,new+norfolk,36,61,-42.78,50.0,10.29
327,arraial+do+cabo,0,98,-22.97,68.3,6.29
328,tuatapere,92,100,-46.13,45.89,16.58
329,tiksi,0,92,71.64,39.32,4.38
330,uribia,8,66,11.71,82.34,15.12
331,lata,88,42,30.78,65.24,1.48
332,la+victoria,20,83,10.23,77.0,2.59
333,jinxiang,0,57,35.07,80.54,8.97
334,mecca,92,51,21.43,78.92,1.36
335,teknaf,0,70,20.86,89.54,3.15
336,bani+walid,0,87,31.76,53.27,1.92
337,port+alfred,12,100,-33.59,61.37,10.98
338,cape+town,0,100,-33.93,42.8,3.36
339,santa+cruz,1,76,36.97,62.6,9.17
340,lagoa,0,87,37.14,60.8,5.82
341,ulladulla,0,43,-35.36,69.8,9.17
342,puerto+ayora,0,98,-0.74,73.79,12.21
343,leningradskiy,8,100,69.38,27.35,11.99
344,roald,8,100,62.58,50.0,16.11
345,iskateley,92,92,67.68,35.54,30.56
346,puerto+ayora,0,98,-0.74,73.79,12.21
347,alto+longa,92,63,-5.25,80.9,4.27
348,sur,0,91,22.57,84.14,13.22
349,iqaluit,90,79,63.75,24.8,8.05
350,boca+do+acre,20,90,-8.76,74.87,1.92
351,nome,1,88,30.04,77.0,4.7
352,polyarnyy,75,56,69.2,41.0,11.18
353,airai,8,54,-8.93,83.24,1.59
354,shirokiy,0,70,53.87,49.04,5.73
355,cape+town,0,100,-33.93,42.8,3.36
356,aykhal,0,76,65.95,47.33,9.64
357,baykit,0,66,61.68,35.45,4.94
358,cockburn+town,80,94,21.46,79.91,20.71
359,punta+arenas,0,100,-53.16,39.2,23.04
360,port+elizabeth,20,83,39.31,78.8,4.05
361,purpe,64,88,64.48,35.9,14.23
362,phon,44,78,15.81,87.65,4.94
363,cape+town,0,100,-33.93,42.8,3.36
364,nanortalik,68,96,60.14,32.66,16.02
365,ahtopol,75,77,42.1,66.2,8.05
366,ishigaki,20,66,24.34,89.6,11.41
367,taunggyi,12,73,20.78,79.37,3.04
368,motygino,92,99,58.18,44.54,3.38
369,muros,90,100,42.77,53.6,9.17
370,gaoua,0,76,10.33,78.29,8.63
371,nyiradony,44,93,47.7,62.6,2.24
372,agadir,40,87,30.42,60.8,5.82
373,port+alfred,12,100,-33.59,61.37,10.98
374,punta+arenas,0,100,-53.16,39.2,23.04
375,puerto+ayora,0,98,-0.74,73.79,12.21
376,mahuva,0,92,21.09,87.74,12.21
377,hamilton,90,77,43.26,66.2,3.36
378,adre,8,84,13.47,68.39,5.95
379,hovd,0,87,63.83,46.4,8.05
380,chai+badan,44,77,15.2,87.02,4.72
381,san+cristobal,75,87,-0.39,51.8,6.93
382,new+norfolk,36,61,-42.78,50.0,10.29
383,shimoda,20,64,34.7,73.4,5.82
384,manggar,88,100,-2.88,79.19,2.71
385,ponta+do+sol,88,97,-20.63,57.05,3.71
386,magalia,1,56,39.81,73.4,3.36
387,baturaja,92,100,-4.12,75.59,4.61
388,severnyy-kospashskiy,92,72,59.09,50.39,13.22
389,lebyazhye,0,71,59.96,57.2,6.71
390,gigmoto,76,100,13.78,82.25,4.16
391,vizinga,92,100,61.08,50.57,5.17
392,vostok,0,46,46.45,64.79,2.59
393,new+norfolk,36,61,-42.78,50.0,10.29
394,north+bend,1,76,43.41,57.2,14.99
395,punta+arenas,0,100,-53.16,39.2,23.04
396,bonthe,92,85,7.53,79.64,5.06
397,cape+town,0,100,-33.93,42.8,3.36
398,puerto+del+rosario,20,77,28.5,62.6,9.17
399,arraial+do+cabo,0,98,-22.97,68.3,6.29
400,zhigansk,20,36,66.77,61.73,7.29
